aspect,description,total,value,class,sd,mean
age,05-17,2903,0.19587072397274138,none,1288.884382860213,829.4285714285714
age,18-24,1314,0.08865798529114095,none,457.95991714809026,375.42857142857144
age,25-34,1724,0.11632143580055326,none,620.5164131976036,492.57142857142856
age,35-49,3517,0.2372984279063491,none,1290.16309415663,1004.8571428571429
age,50-64,3224,0.2175291815666959,none,1156.4956302801766,921.1428571428571
age,65+,2139,0.1443222454625194,none,953.8321705225766,611.1428571428571
freq car as driver,everyday,7083,0.47790297550772554,none,2517.091225620406,2023.7142857142858
freq car as driver,never,4758,0.32103096957020444,none,1794.1750060629404,1359.4285714285713
freq car as driver,P21000,53,0.0035760070170703733,none,20.119878821939356,15.142857142857142
freq car as driver,rarely,411,0.02773092233992308,none,143.7113509120013,117.42857142857143
freq car as driver,twice-month,411,0.02773092233992308,none,143.75773271127267,117.42857142857143
freq car as driver,twice-week,2105,0.1420282032251535,none,779.8334987125686,601.4285714285714
freq car as passenger,everyday,2197,0.14823561163214358,none,809.6274275421821,627.7142857142857
freq car as passenger,never,3286,0.22171243505836313,none,1151.7420759544254,938.8571428571429
freq car as passenger,P22000,53,0.0035760070170703733,none,20.119878821939356,15.142857142857142
freq car as passenger,rarely,4129,0.2785911881789353,none,1427.224896350223,1179.7142857142858
freq car as passenger,twice-month,1671,0.1127454287834829,none,572.2932980977665,477.42857142857144
freq car as passenger,twice-week,3485,0.23513932933000473,none,1201.8682282576729,995.7142857142857
freq cycling,everyday,819,0.05525942918831388,none,278.38103383671813,234
freq cycling,never,8352,0.5635247284258822,none,2861.8824058234654,2386.285714285714
freq cycling,P19000,53,0.0035760070170703733,none,20.119878821939356,15.142857142857142
freq cycling,rarely,3387,0.22852708993995008,none,1142.647323001242,967.7142857142857
freq cycling,twice-month,1006,0.06787666149382633,none,339.73217742944564,287.42857142857144
freq cycling,twice-week,1204,0.08123608393495715,none,407.78916120956427,344
freq other public transports,everyday,280,0.018892112543013293,none,106.3171356524118,80
freq other public transports,never,13260,0.8946764725727009,none,4495.838477864571,3788.5714285714284
freq other public transports,P23c000,53,0.0035760070170703733,none,20.119878821939356,15.142857142857142
freq other public transports,rarely,860,0.05802577423925511,none,293.26592840271223,245.71428571428572
freq other public transports,twice-month,185,0.012482288644490925,none,63.15966162942022,52.857142857142854
freq other public transports,twice-week,183,0.012347344983469401,none,64.23320606901669,52.285714285714285
freq TAG,everyday,1854,0.1250927737669523,none,639.8967922734921,529.7142857142857
freq TAG,never,7441,0.5020578908305783,none,2524.8142505934966,2126
freq TAG,P23b000,53,0.0035760070170703733,none,20.119878821939356,15.142857142857142
freq TAG,rarely,2848,0.19215977329464948,none,967.4235050355342,813.7142857142857
freq TAG,twice-month,1375,0.09277376695229742,none,472.36794576947767,392.85714285714283
freq TAG,twice-week,1250,0.08433978813845219,none,442.7310803679922,357.14285714285717
freq TER,everyday,265,0.017880035085351867,none,95.5208777976736,75.71428571428571
freq TER,never,11181,0.7544025369408272,none,3793.3537429361395,3194.5714285714284
freq TER,P24c000,53,0.0035760070170703733,none,20.119878821939356,15.142857142857142
freq TER,rarely,2641,0.1781931043789218,none,896.4169151205737,754.5714285714286
freq TER,twice-month,488,0.032926253289251736,none,164.4616035663615,139.42857142857142
freq TER,twice-week,193,0.013022063288577019,none,64.97545324050864,55.142857142857146
freq tramway only,everyday,1346,0.09081708386748533,none,462.71332274705367,384.57142857142856
freq tramway only,never,7761,0.523648876594022,none,2634.6375371919667,2217.4285714285716
freq tramway only,P24000,53,0.0035760070170703733,none,20.119878821939356,15.142857142857142
freq tramway only,rarely,3174,0.2141555900411578,none,1073.9258864203848,906.8571428571429
freq tramway only,twice-month,1304,0.08798326698603333,none,445.5640085490363,372.57142857142856
freq tramway only,twice-week,1183,0.07981917549423116,none,411.19297983631316,338
freq TRANSISERE,everyday,776,0.05235814047635112,none,315.4170330877912,221.71428571428572
freq TRANSISERE,never,11919,0.8041967478577694,none,4056.5663582699617,3405.4285714285716
freq TRANSISERE,P24b000,53,0.0035760070170703733,none,20.119878821939356,15.142857142857142
freq TRANSISERE,rarely,1488,0.1003980838000135,none,505.8156543549005,425.14285714285717
freq TRANSISERE,twice-month,386,0.026044126577154037,none,133.25003350307807,110.28571428571429
freq TRANSISERE,twice-week,199,0.01342689427164159,none,69.45365018348225,56.857142857142854
freq two-wheeled motorcycle,everyday,110,0.007421901356183793,none,37.42484532525215,31.428571428571427
freq two-wheeled motorcycle,never,13809,0.9317185075231091,none,4689.31152932364,3945.4285714285716
freq two-wheeled motorcycle,P20000,53,0.0035760070170703733,none,20.119878821939356,15.142857142857142
freq two-wheeled motorcycle,rarely,424,0.028608056136562986,none,144.0409994543551,121.14285714285714
freq two-wheeled motorcycle,twice-month,204,0.013764253424195398,none,69.59098190070867,58.285714285714285
freq two-wheeled motorcycle,twice-week,221,0.014911274542878349,none,76.30733597636288,63.142857142857146
gender,female,7464,0.5036097429323257,none,2557.3881114099504,2132.5714285714284
gender,male,7357,0.49639025706767426,none,2472.999528238262,2102
socioprofessional groups,apprentices,116,0.007826732339248363,none,40.42040974321666,33.142857142857146
socioprofessional groups,blue collar workers,1918,0.12941097091964104,none,710.1995963577187,639.3333333333334
socioprofessional groups,business owners and shop keepers,642,0.04331691518790905,none,237.10335299189677,214
socioprofessional groups,employees,2841,0.19168747048107415,none,1025.3689928160356,811.7142857142857
socioprofessional groups,executives and professionals,2365,0.15957087915795157,none,881.8434695352145,675.7142857142857
socioprofessional groups,farmers,191,0.012887119627555496,none,79.04850831398824,63.666666666666664
socioprofessional groups,no professional activity,4244,0.2863504486876729,none,1743.9194225596984,1212.5714285714287
socioprofessional groups,none,6,4.048309830645705e-4,none,2.160246899469287,3
socioprofessional groups,technicians and associate professionals,2498,0.16854463261588287,none,896.3384246078996,713.7142857142857
work hours,compulsory,4121,0.2780514135348492,none,1525.4792533433392,1177.4285714285713
work hours,P9d000,8131,0.5486134538830039,none,3049.5820166361286,2323.1428571428573
work hours,partially chosen,1839,0.12408069630929087,none,725.8110078027331,525.4285714285714
work hours,totally free,730,0.049254436272856084,none,275.72425839353826,243.33333333333334
work shift,2x8,184,0.012414816813980163,none,66.44596802415228,61.333333333333336
work shift,3x8,139,0.009378584440995884,none,47.11232777704184,39.714285714285715
work shift,day,6210,0.4190000674718305,none,2372.5236011671705,1774.2857142857142
work shift,night,157,0.010593077390189595,none,54.73816462639816,52.333333333333336
work shift,P9c000,8131,0.5486134538830039,none,3049.5820166361286,2323.1428571428573
work status,full-time employment,5426,0.3661021523513933,none,2074.238150445099,1550.2857142857142
work status,internship,116,0.007826732339248363,none,40.42040974321666,33.142857142857146
work status,other,244,0.016463126644625868,none,129.74847462173366,122
work status,part-time employment,1264,0.08528439376560286,none,449.2806949526575,361.14285714285717
work status,retired,2920,0.19701774509142433,none,1302.893026343774,834.2857142857143
work status,school student,3011,0.20315768166790366,none,1409.2738082667495,1003.6666666666666
work status,stay at home,549,0.037042034950408205,none,277.84941965028463,219.6
work status,unemployed,520,0.035085351865596116,none,223.8882586938234,148.57142857142858
work status,university student,771,0.05202078132379732,none,302.7769884946754,220.28571428571428
age,05-17,86,0.09885057471264368,classe.1,1288.884382860213,829.4285714285714
age,18-24,53,0.06091954022988506,classe.1,457.95991714809026,375.42857142857144
age,25-34,90,0.10344827586206896,classe.1,620.5164131976036,492.57142857142856
age,35-49,146,0.167816091954023,classe.1,1290.16309415663,1004.8571428571429
age,50-64,250,0.28735632183908044,classe.1,1156.4956302801766,921.1428571428571
age,65+,245,0.28160919540229884,classe.1,953.8321705225766,611.1428571428571
freq car as driver,everyday,457,0.5252873563218391,classe.1,2517.091225620406,2023.7142857142858
freq car as driver,never,198,0.22758620689655173,classe.1,1794.1750060629404,1359.4285714285713
freq car as driver,P21000,2,0.0022988505747126436,classe.1,20.119878821939356,15.142857142857142
freq car as driver,rarely,21,0.02413793103448276,classe.1,143.7113509120013,117.42857142857143
freq car as driver,twice-month,26,0.029885057471264367,classe.1,143.75773271127267,117.42857142857143
freq car as driver,twice-week,166,0.19080459770114944,classe.1,779.8334987125686,601.4285714285714
freq car as passenger,everyday,119,0.1367816091954023,classe.1,809.6274275421821,627.7142857142857
freq car as passenger,never,155,0.1781609195402299,classe.1,1151.7420759544254,938.8571428571429
freq car as passenger,P22000,2,0.0022988505747126436,classe.1,20.119878821939356,15.142857142857142
freq car as passenger,rarely,286,0.32873563218390806,classe.1,1427.224896350223,1179.7142857142858
freq car as passenger,twice-month,104,0.11954022988505747,classe.1,572.2932980977665,477.42857142857144
freq car as passenger,twice-week,204,0.23448275862068965,classe.1,1201.8682282576729,995.7142857142857
freq cycling,everyday,36,0.041379310344827586,classe.1,278.38103383671813,234
freq cycling,never,524,0.6022988505747127,classe.1,2861.8824058234654,2386.285714285714
freq cycling,P19000,2,0.0022988505747126436,classe.1,20.119878821939356,15.142857142857142
freq cycling,rarely,185,0.21264367816091953,classe.1,1142.647323001242,967.7142857142857
freq cycling,twice-month,60,0.06896551724137931,classe.1,339.73217742944564,287.42857142857144
freq cycling,twice-week,63,0.07241379310344828,classe.1,407.78916120956427,344
freq other public transports,everyday,3,0.0034482758620689655,classe.1,106.3171356524118,80
freq other public transports,never,797,0.9160919540229885,classe.1,4495.838477864571,3788.5714285714284
freq other public transports,P23c000,2,0.0022988505747126436,classe.1,20.119878821939356,15.142857142857142
freq other public transports,rarely,46,0.052873563218390804,classe.1,293.26592840271223,245.71428571428572
freq other public transports,twice-month,11,0.01264367816091954,classe.1,63.15966162942022,52.857142857142854
freq other public transports,twice-week,11,0.01264367816091954,classe.1,64.23320606901669,52.285714285714285
freq TAG,everyday,73,0.0839080459770115,classe.1,639.8967922734921,529.7142857142857
freq TAG,never,432,0.496551724137931,classe.1,2524.8142505934966,2126
freq TAG,P23b000,2,0.0022988505747126436,classe.1,20.119878821939356,15.142857142857142
freq TAG,rarely,170,0.19540229885057472,classe.1,967.4235050355342,813.7142857142857
freq TAG,twice-month,91,0.10459770114942529,classe.1,472.36794576947767,392.85714285714283
freq TAG,twice-week,102,0.11724137931034483,classe.1,442.7310803679922,357.14285714285717
freq TER,everyday,10,0.011494252873563218,classe.1,95.5208777976736,75.71428571428571
freq TER,never,631,0.725287356321839,classe.1,3793.3537429361395,3194.5714285714284
freq TER,P24c000,2,0.0022988505747126436,classe.1,20.119878821939356,15.142857142857142
freq TER,rarely,185,0.21264367816091953,classe.1,896.4169151205737,754.5714285714286
