aspect,description,total,value,class,sd,mean
age,05-17,4636,0.18395365447186732,none,2162.2108174383966,1324.5714285714287
age,18-24,2398,0.09515117847789858,none,845.8942858638677,685.1428571428571
age,25-34,2991,0.11868105705896358,none,1095.2319171668403,854.5714285714286
age,35-49,5538,0.21974446472502182,none,2072.3587780019907,1582.2857142857142
age,50-64,5256,0.20855487659709546,none,1908.4772039757872,1501.7142857142858
age,65+,4383,0.17391476866915323,none,1985.5357559347146,1252.2857142857142
freq bus,everyday,576,0.022855328942147448,none,253.43957671922325,164.57142857142858
freq bus,never,7951,0.3154908340607888,none,2771.995533563364,2271.714285714286
freq bus,P24B000,15265,0.605705896357432,none,5237.250578218271,4361.428571428572
freq bus,rarely,1110,0.04404412348226331,none,383.6614951453206,317.14285714285717
freq bus,twice-month,185,0.007340687247043886,none,68.10635939819564,52.857142857142854
freq bus,twice-week,115,0.004563129910324578,none,41.34581224835461,32.857142857142854
freq car as driver,everyday,11075,0.43944925005951907,none,4009.7079991060746,3164.285714285714
freq car as driver,never,8838,0.3506864534560749,none,3301.769850073918,2525.1428571428573
freq car as driver,P22000,26,0.0010316641536386002,none,9.287985070329661,8.666666666666666
freq car as driver,rarely,1019,0.04043329894452821,none,362.28875618371444,291.14285714285717
freq car as driver,twice-month,994,0.039441314181414174,none,358.35410792492206,284
freq car as driver,twice-week,3250,0.12895801920482503,none,1246.3807413390791,928.5714285714286
freq car as passenger,everyday,2998,0.11895881279263551,none,1154.4991492912784,856.5714285714286
freq car as passenger,never,7008,0.2780731687961273,none,2465.5885513933395,2002.2857142857142
freq car as passenger,P23000,26,0.0010316641536386002,none,9.287985070329661,8.666666666666666
freq car as passenger,rarely,6634,0.2632330767399413,none,2326.27892116307,1895.4285714285713
freq car as passenger,twice-month,3350,0.13292595825728118,none,1158.3593899090542,957.1428571428571
freq car as passenger,twice-week,5186,0.20577731926037615,none,1802.3238438458382,1481.7142857142858
freq cycling,everyday,870,0.034521069756368546,none,298.7255469171534,248.57142857142858
freq cycling,never,16633,0.6599873025950321,none,5758.485788072119,4752.285714285715
freq cycling,P20000,26,0.0010316641536386002,none,9.287985070329661,8.666666666666666
freq cycling,rarely,4214,0.16720895167050234,none,1436.6139588165872,1204
freq cycling,twice-month,1794,0.07118482660106341,none,611.6199411243492,512.5714285714286
freq cycling,twice-week,1665,0.06606618522339497,none,570.1341112070954,475.7142857142857
freq other public transports,everyday,5208,0.2066502658519165,none,1808.035490064654,1488
freq other public transports,never,9976,0.395841599873026,none,3451.2613498200776,2850.285714285714
freq other public transports,P24000,26,0.0010316641536386002,none,9.287985070329661,8.666666666666666
